2020-01-22,14:58:47,0,Rebo,1579701529068,Hey Behzad!,TUTOR
2020-01-22,14:58:54,0,Behzad,1579701535070,hi,GREETING
2020-01-22,14:58:55,0,Rebo,1579701537087,Und? Wie war's?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-01-22,14:59:09,0,Rebo,1579701551070,Grüß dich Behzad,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-01-22,15:00:38,0,Rebo,1579701639852,Hallo Behzad,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-01-22,15:06:09,0,Rebo,1579701970190,Salam Behzad!,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-01-22,15:06:18,0,Rebo,1579701979348,Salam Behzad!,TUTOR
2020-01-22,15:06:23,0,Behzad,1579701983309,dasd as,
2020-01-22,15:06:29,0,Behzad,1579701989153,hi,GREETING
2020-01-22,15:06:29,0,Rebo,1579701989371,Bist du mit dem Ergebnis der Aufgabe zufrieden? Warum/Warum nicht?,TUTOR
2020-01-22,15:06:30,0,Behzad,1579701990625,dasd,
2020-01-22,15:06:34,0,Rebo,1579701995380,Heute wieder einmal kurz angebunden.,TUTOR
2020-01-22,15:06:34,0,Rebo,1579701995383,Wie gut erfüllt dein Ergebnis die gestellte Aufgabe?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-01-22,15:17:18,0,Rebo,1579702639016,Salam Behzad!,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-01-22,15:18:13,0,Rebo,1579702693943,Salam Behzad!,TUTOR
